8.704172999999999771e-02,5.250973700000000077e-01,5.192092900000000455e-01,3.123373700000000031e-01
1.629871498148669773e-01,3.575900942380217384e-01,3.798787714294000195e-01,2.462892983563192972e-01
1.435237295491784137e-01,4.034986040829238729e-01,4.194189600629017467e-01,2.653096265689577904e-01
1.488667379285875669e-01,3.911922572964631750e-01,4.084867092643090225e-01,2.601934201417895887e-01
1.474102424142690604e-01,3.945675847770387934e-01,4.114670319992529968e-01,2.615977610007587106e-01
1.478083025642949466e-01,3.936466729864219749e-01,4.106524198381985014e-01,2.612146424041716930e-01
1.476995839893895379e-01,3.938983096652970972e-01,4.108749024803345917e-01,2.613193320296950395e-01
1.477292827179748913e-01,3.938295785872645838e-01,4.108141263441515978e-01,2.612907377555163113e-01
1.477211702974703667e-01,3.938483536219058445e-01,4.108307277516901612e-01,2.612985487747878088e-01
1.477233862932630648e-01,3.938432250655918843e-01,4.108261928946684849e-01,2.612964151315345096e-01
1.477227809721749219e-01,3.938446259848982223e-01,4.108274316353834887e-01,2.612969979588198877e-01
1.477229463217629712e-01,3.938442433098658380e-01,4.108270932607944737e-01,2.612968387537635828e-01
1.477229011548609749e-01,3.938443478414167531e-01,4.108271856912167896e-01,2.612968822422315762e-01
1.477229134926556775e-01,3.938443192875705212e-01,4.108271604429162838e-01,2.612968703629194867e-01
1.477229101224626640e-01,3.938443270873415170e-01,4.108271673397450585e-01,2.612968736078727927e-01
1.477229110430644254e-01,3.938443249567569193e-01,4.108271654558059982e-01,2.612968727214809994e-01
1.477229107915913331e-01,3.938443255387520936e-01,4.108271659704210710e-01,2.612968729636094278e-01
1.477229108602851892e-01,3.938443253797705990e-01,4.108271658298469631e-01,2.612968728974695010e-01
1.477229108415204217e-01,3.938443254231981383e-01,4.108271658682489114e-01,2.612968729155365488e-01
1.477229108466464325e-01,3.938443254113349612e-01,4.108271658577592467e-01,2.612968729106012189e-01
1.477229108452461082e-01,3.938443254145759242e-01,4.108271658606240107e-01,2.612968729119488076e-01
1.477229108456288298e-01,3.938443254136900218e-01,4.108271658598415810e-01,2.612968729115813238e-01
1.477229108455249129e-01,3.938443254139299965e-01,4.108271658600557985e-01,2.612968729116803002e-01
1.477229108455520856e-01,3.938443254138679350e-01,4.108271658599967902e-01,2.612968729116549316e-01
1.477229108455448692e-01,3.938443254138848104e-01,4.108271658600111675e-01,2.612968729116629807e-01
1.477229108455468398e-01,3.938443254138799254e-01,4.108271658600083365e-01,2.612968729116603162e-01
